Dis	TICKETID
0.29	132
-0.35	217
-0.3	219
0.07	229
-113.6	294
-19.84	295
-226.8	339
-172.5	353
-16.41	355
-15.73	371
-82.15	378
-125.3	385
-193.15	391
-12.2	410
-96.45	419
-176.77	431
-18.88	432
-227.81	497
-13	503
-48.39	506
-38.36	512
-28.24	524
-51.34	533
-39.53	540
-15.4	555
-96.77	556
-11.52	557
-66.1	566
-78.8	575
-69.48	586
-53.35	621
-298.75	657
-39.16	658
-51.79	669
-318.01	672
-122.45	703
-109.56	704
-25.27	720
-39.1	744
-10.24	745
-98.49	750
-39.34	751
-49.25	781
-26.49	782
-44.67	783
-10.24	789
-11.86	790
-15.35	307
-16.72	367
-52.38	373
-23.95	406
-12.2	466
-13.2	517
-72.9	543
-65.2	551
-10.24	553
-48.93	580
-192.32	588
-33.45	671
-32.66	688
-46.3	713
-38.78	718
-46.32	729
-17.85	735
-16.39	736
-17.27	737
-17.27	738
-37.46	746
-23.71	747
-22.24	748
-18.15	755
-24.59	760
-9.22	774
-17.27	775
-44.51	627
-78.96	649
-18.34	711
-59.12	742
0.31	111
-0.47	112
0.08	225
0.06	266
-0.12	267
0.3	276
0.08	282
-93.54	287
-98.56	289
-98.56	290
-135.72	315
-19	320
-18.88	397
-80.07	398
-31.06	400
-96.45	408
-36.49	426
-92.54	465
-108.92	472
-36.97	522
-21.04	525
-53.13	531
-94.72	578
-44.51	602
-266.22	607
-53.35	612
-11.17	652
-16.87	699
-76.57	716
-18	732
-66.44	754
-19.32	761
-44.49	764
-8.32	776
-18	787
-13.36	595
-47.36	596
-29.67	597
-39.34	694
-24.62	695
-108.4	705
-226.98	708
-90.74	709
-206.63	773
-16.39	785
0.22	137
-0.11	197
-96.05	297
-56.8	298
-184.5	333
-77.52	349
-472.62	364
-12.2	387
-12.2	417
-34.4	425
-23.95	452
-102.69	460
-56.54	469
-20.6	470
-34.78	475
-22.08	477
-12.7	478
-43.95	481
-39.7	484
-19.48	493
-108.58	494
-18.01	500
-238.72	548
-295.96	569
-77.04	587
-28	617
-155.36	667
-147.81	683
-185.04	684
-28.75	685
-156.93	722
-36	749
